3.64e-01 8.20e-02
8.98e-01 8.20e-02
8.64e-01 1.80e-01
9.66e-01 5.41e-01
8.64e-01 9.02e-01
6.86e-01 3.28e-01
5.00e-01 5.98e-01
4.83e-01 6.72e-01
3.39e-01 8.36e-01
4.83e-01 8.20e-01
1.86e-01 4.02e-01
2.03e-01 5.25e-01
1.86e-01 5.41e-01
4.83e-01 8.20e-02
8.98e-01 9.80e-02
7.80e-01 1.23e-01
8.98e-01 7.54e-01
7.46e-01 9.02e-01
6.44e-01 2.79e-01
5.25e-01 5.74e-01
2.20e-01 7.95e-01
3.81e-01 8.36e-01
4.83e-01 7.70e-01
2.03e-01 4.26e-01
1.02e-01 5.74e-01
1.86e-01 5.57e-01
4.41e-01 9.80e-02
8.39e-01 8.20e-02
7.80e-01 1.64e-01
8.98e-01 7.79e-01
6.78e-01 2.46e-01
6.10e-01 3.44e-01
5.85e-01 5.74e-01
2.20e-01 8.36e-01
4.07e-01 8.52e-01
5.08e-01 7.54e-01
2.20e-01 4.59e-01
1.19e-01 5.74e-01
5.00e-01 9.80e-02
8.98e-01 1.64e-01
7.63e-01 1.48e-01
1.00e-00 8.36e-01
7.03e-01 2.79e-01
6.27e-01 3.44e-01
5.59e-01 6.39e-01
2.63e-01 8.52e-01
2.63e-01 6.97e-01
4.41e-01 7.54e-01
2.37e-01 4.75e-01
1.36e-01 5.74e-01
4.83e-01 1.48e-01
8.98e-01 1.89e-01
9.49e-01 5.25e-01
9.66e-01 9.59e-01
7.29e-01 2.62e-01
6.44e-01 3.61e-01
5.25e-01 6.56e-01
2.88e-01 8.52e-01
4.41e-01 8.20e-01
1.86e-01 3.77e-01
2.03e-01 5.00e-01
1.19e-01 6.23e-01
